date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2021-05-01,AUT,3238347.0,2367892.0,870771.0,42001.0,52088.0,35.96,5783.0,9.67
2021-05-02,AUT,3255014.0,2383174.0,872160.0,16667.0,50493.0,36.14,5606.0,9.68
2021-05-03,AUT,3284396.0,2401192.0,884387.0,29382.0,50289.0,36.47,5584.0,9.82
2021-05-04,AUT,3345815.0,2442440.0,906202.0,61419.0,52173.0,37.15,5793.0,10.06
2021-05-05,AUT,3423932.0,2503093.0,924315.0,78117.0,54979.0,38.02,6104.0,10.26
2021-05-06,AUT,3521604.0,2581146.0,945006.0,97672.0,58022.0,39.1,6442.0,10.49
2021-05-07,AUT,3630803.0,2667936.0,968324.0,109199.0,62065.0,40.31,6891.0,10.75
2021-05-08,AUT,3683230.0,2701785.0,987851.0,52427.0,63555.0,40.9,7057.0,10.97
2021-05-09,AUT,3701929.0,2714410.0,993934.0,18699.0,63845.0,41.1,7089.0,11.04
2021-05-10,AUT,3745334.0,2747556.0,1005176.0,43405.0,65848.0,41.59,7311.0,11.16
2021-05-11,AUT,3811587.0,2796821.0,1023122.0,66253.0,66539.0,42.32,7388.0,11.36
2021-05-12,AUT,3912307.0,2874948.0,1047169.0,100720.0,69768.0,43.44,7746.0,11.63
2021-05-13,AUT,3946380.0,2901367.0,1055620.0,34073.0,60682.0,43.82,6738.0,11.72
2021-05-14,AUT,4036738.0,2968482.0,1079870.0,90358.0,57991.0,44.82,6439.0,11.99
2021-05-15,AUT,4096781.0,3012706.0,1096722.0,60043.0,59079.0,45.49,6560.0,12.18
2021-05-16,AUT,4120937.0,3030389.0,1103895.0,24156.0,59858.0,45.76,6646.0,12.26
2021-05-17,AUT,4168374.0,3060993.0,1122473.0,47437.0,60434.0,46.28,6710.0,12.46
2021-05-18,AUT,4238196.0,3105246.0,1150095.0,69822.0,60944.0,47.06,6767.0,12.77
2021-05-19,AUT,4344082.0,3179668.0,1183530.0,105886.0,61682.0,48.23,6849.0,13.14
2021-05-20,AUT,4455312.0,3256249.0,1220003.0,111230.0,72705.0,49.47,8073.0,13.55
2021-05-21,AUT,4567007.0,3329394.0,1261431.0,111695.0,75753.0,50.71,8411.0,14.01
2021-05-22,AUT,4625970.0,3368627.0,1281442.0,58963.0,75598.0,51.36,8394.0,14.23
2021-05-23,AUT,4655336.0,3387962.0,1292928.0,29366.0,76343.0,51.69,8477.0,14.36
2021-05-24,AUT,4680150.0,3400137.0,1305690.0,24814.0,73111.0,51.96,8118.0,14.5
2021-05-25,AUT,4735175.0,3438062.0,1324323.0,55025.0,70997.0,52.58,7883.0,14.7
2021-05-26,AUT,4827791.0,3486954.0,1369675.0,92616.0,69101.0,53.6,7672.0,15.21
2021-05-27,AUT,4927122.0,3541655.0,1417020.0,99331.0,67401.0,54.71,7484.0,15.73
2021-05-28,AUT,5037243.0,3600999.0,1473509.0,110121.0,67177.0,55.93,7459.0,16.36
2021-05-29,AUT,5099523.0,3626225.0,1510934.0,62280.0,67650.0,56.62,7511.0,16.78
2021-05-30,AUT,5137599.0,3640273.0,1534982.0,38076.0,68895.0,57.04,7650.0,17.04
2021-05-31,AUT,5181306.0,3661829.0,1559854.0,43707.0,71594.0,57.53,7949.0,17.32
2021-06-01,AUT,5271871.0,3717702.0,1600224.0,90565.0,76671.0,58.53,8513.0,17.77
2021-06-02,AUT,5414565.0,3794888.0,1672470.0,142694.0,83825.0,60.12,9307.0,18.57
2021-06-03,AUT,5482511.0,3825372.0,1710703.0,67946.0,79341.0,60.87,8809.0,18.99
2021-06-04,AUT,5591261.0,3887324.0,1760339.0,108750.0,79145.0,62.08,8788.0,19.55
2021-06-05,AUT,5653865.0,3920551.0,1790069.0,62604.0,79192.0,62.78,8793.0,19.88
2021-06-06,AUT,5707056.0,3944693.0,1819473.0,53191.0,81351.0,63.37,9033.0,20.2
2021-06-07,AUT,5764454.0,3970461.0,1853794.0,57398.0,83307.0,64.0,9250.0,20.58
2021-06-08,AUT,5855722.0,4020628.0,1899685.0,91268.0,83407.0,65.02,9261.0,21.09
2021-06-09,AUT,5972448.0,4082886.0,1958612.0,116726.0,79698.0,66.31,8849.0,21.75
2021-06-10,AUT,6092902.0,4134752.0,2031807.0,120454.0,87199.0,67.65,9682.0,22.56
2021-06-11,AUT,6223179.0,4189865.0,2111043.0,130277.0,90274.0,69.1,10023.0,23.44
2021-06-12,AUT,6292199.0,4217678.0,2152923.0,69020.0,91191.0,69.86,10125.0,23.9
2021-06-13,AUT,6329636.0,4234867.0,2173290.0,37437.0,88940.0,70.28,9875.0,24.13
2021-06-14,AUT,6378351.0,4254482.0,2204414.0,48715.0,87700.0,70.82,9738.0,24.48
2021-06-15,AUT,6464404.0,4301575.0,2246082.0,86053.0,86955.0,71.78,9655.0,24.94
2021-06-16,AUT,6583858.0,4350915.0,2318862.0,119454.0,87344.0,73.1,9698.0,25.75
2021-06-17,AUT,6698117.0,4392471.0,2394143.0,114259.0,86459.0,74.37,9600.0,26.58
2021-06-18,AUT,6809675.0,4434128.0,2468253.0,111558.0,83785.0,75.61,9303.0,27.41
2021-06-19,AUT,6875947.0,4464321.0,2504598.0,66272.0,83393.0,76.35,9259.0,27.81
2021-06-20,AUT,6912522.0,4483305.0,2522275.0,36575.0,83269.0,76.75,9246.0,28.01
2021-06-21,AUT,6963533.0,4503511.0,2554588.0,51011.0,83597.0,77.32,9282.0,28.36
2021-06-22,AUT,7054826.0,4539042.0,2612284.0,91293.0,84346.0,78.33,9365.0,29.0
2021-06-23,AUT,7166135.0,4574007.0,2689860.0,111309.0,83182.0,79.57,9236.0,29.87
2021-06-24,AUT,7274616.0,4606494.0,2767625.0,108481.0,82357.0,80.77,9144.0,30.73
2021-06-25,AUT,7395678.0,4640882.0,2855900.0,121062.0,83715.0,82.12,9295.0,31.71
2021-06-26,AUT,7472304.0,4667240.0,2906387.0,76626.0,85194.0,82.97,9459.0,32.27
